t=1227: [[0.138698, 0.178698], [0.550676, 0.590676]]
t=1232: [[0.139142, 0.179142], [0.550761, 0.590761]]
t=1244: [[0.137459, 0.177459], [0.553665, 0.593665]]
t=1246: [[0.138347, 0.178347], [0.553396, 0.593396]]
t=1250: [[0.136803, 0.176803], [0.555053, 0.595053]]
t=1251: [[0.137358, 0.177358], [0.555310, 0.595310]]
t=1259: [[0.136956, 0.176956], [0.554813, 0.594813]]
t=1309: [[0.129449, 0.169449], [0.550948, 0.590948]]
t=1318: [[0.133827, 0.173827], [0.549996, 0.589996]]
t=1327: [[0.134793, 0.174793], [0.548242, 0.588242]]
t=1336: [[0.131917, 0.171917], [0.544740, 0.584740]]
t=1350: [[0.131421, 0.171421], [0.543466, 0.583466]]
t=1356: [[0.133565, 0.173565], [0.545756, 0.585756]]
t=1363: [[0.132904, 0.172904], [0.545430, 0.585430]]
t=1366: [[0.133308, 0.173308], [0.544997, 0.584997]]
t=1367: [[0.132868, 0.172868], [0.544053, 0.584053]]
t=1399: [[0.129016, 0.169016], [0.541688, 0.581688]]
t=1402: [[0.128646, 0.168646], [0.541508, 0.581508]]
t=1408: [[0.128596, 0.168596], [0.540148, 0.580148]]
t=1411: [[0.129642, 0.169642], [0.540152, 0.580152]]
t=1413: [[0.129053, 0.169053], [0.539450, 0.579450]]
t=1419: [[0.127875, 0.167875], [0.538628, 0.578628]]
t=1427: [[0.127286, 0.167286], [0.539469, 0.579469]]
t=1429: [[0.126147, 0.166147], [0.537755, 0.577755]]
t=1432: [[0.125439, 0.165439], [0.536055, 0.576055]]
t=1439: [[0.127159, 0.167159], [0.536126, 0.576126]]
t=1441: [[0.126606, 0.166606], [0.535320, 0.575320]]
t=1442: [[0.126660, 0.166660], [0.535094, 0.575094]]
t=1449: [[0.126590, 0.166590], [0.533417, 0.573417]]
t=1455: [[0.125166, 0.165166], [0.533675, 0.573675]]
t=1463: [[0.128635, 0.168635], [0.531659, 0.571659]]
t=1486: [[0.128334, 0.168334], [0.530899, 0.570899]]
t=1488: [[0.127927, 0.167927], [0.530843, 0.570843]]
t=1493: [[0.130199, 0.170199], [0.530731, 0.570731]]
t=1494: [[0.130458, 0.170458], [0.531015, 0.571015]]
t=1495: [[0.130946, 0.170946], [0.530792, 0.570792]]
t=1496: [[0.131474, 0.171474], [0.531249, 0.571249]]
t=1497: [[0.131400, 0.171400], [0.531446, 0.571446]]
t=1504: [[0.133750, 0.173750], [0.531077, 0.571077]]
t=1512: [[0.135364, 0.175364], [0.533670, 0.573670]]
t=1521: [[0.138127, 0.178127], [0.534719, 0.574719]]
t=1539: [[0.141382, 0.181382], [0.539160, 0.579160]]
t=1542: [[0.141885, 0.181885], [0.538594, 0.578594]]
t=1545: [[0.142108, 0.182108], [0.538559, 0.578559]]
t=1548: [[0.144142, 0.184142], [0.537574, 0.577574]]
t=1559: [[0.141994, 0.181994], [0.540256, 0.580256]]
t=1562: [[0.141142, 0.181142], [0.539961, 0.579961]]
t=1570: [[0.139262, 0.179262], [0.544490, 0.584490]]
t=1614: [[0.134399, 0.174399], [0.546636, 0.586636]]
t=1619: [[0.133262, 0.173262], [0.544207, 0.584207]]
t=1621: [[0.134417, 0.174417], [0.543843, 0.583843]]
t=1635: [[0.133535, 0.173535], [0.543413, 0.583413]]
t=1636: [[0.133796, 0.173796], [0.544173, 0.584173]]
t=1649: [[0.130990, 0.170990], [0.544864, 0.584864]]
t=1664: [[0.132632, 0.172632], [0.542421, 0.582421]]
t=1666: [[0.131827, 0.171827], [0.542254, 0.582254]]
t=1685: [[0.129722, 0.169722], [0.539732, 0.579732]]
t=1686: [[0.129313, 0.169313], [0.540034, 0.580034]]
t=1701: [[0.130584, 0.170584], [0.540933, 0.580933]]
t=1703: [[0.131686, 0.171686], [0.540489, 0.580489]]
t=1712: [[0.131019, 0.171019], [0.541706, 0.581706]]
t=1716: [[0.132260, 0.172260], [0.542054, 0.582054]]
t=1730: [[0.132396, 0.172396], [0.541239, 0.581239]]
t=1740: [[0.130322, 0.170322], [0.539937, 0.579937]]
t=1751: [[0.132078, 0.172078], [0.539848, 0.579848]]
t=1755: [[0.133064, 0.173064], [0.540729, 0.580729]]
t=1758: [[0.132928, 0.172928], [0.541042, 0.581042]]
t=1779: [[0.136517, 0.176517], [0.545251, 0.585251]]
t=1780: [[0.136913, 0.176913], [0.545399, 0.585399]]
t=1781: [[0.137255, 0.177255], [0.545703, 0.585703]]
t=1802: [[0.136773, 0.176773], [0.549980, 0.589980]]
t=1813: [[0.133969, 0.173969], [0.549339, 0.589339]]
t=1838: [[0.127553, 0.167553], [0.552417, 0.592417]]
t=1840: [[0.128300, 0.168300], [0.551370, 0.591370]]
t=1842: [[0.128324, 0.168324], [0.551638, 0.591638]]
t=1863: [[0.126750, 0.166750], [0.551541, 0.591541]]
